Target distance: 100, step size: 2
1: (x, y) = (1.14715, 1.6383)
2: (x, y) = (-0.291527, 3.02762)
3: (x, y) = (-0.465838, 1.03523)
4: (x, y) = (-2.36795, 1.65327)
5: (x, y) = (-1.45997, -0.128748)
6: (x, y) = (-3.078, 1.04682)
7: (x, y) = (-3.28706, 3.03587)
8: (x, y) = (-4.3469, 4.73196)
9: (x, y) = (-2.3469, 4.73196)
10: (x, y) = (-0.43429, 4.14722)
11: (x, y) = (1.47832, 3.56248)
12: (x, y) = (1.92822, 1.61374)
13: (x, y) = (0.213887, 0.58366)
14: (x, y) = (-1.3182, 1.86923)
15: (x, y) = (-2.22618, 0.0872219)
16: (x, y) = (-2.40049, 2.07961)
17: (x, y) = (-4.2415, 2.86107)
18: (x, y) = (-2.87751, 4.32378)
19: (x, y) = (-2.06403, 2.49669)
20: (x, y) = (-0.386693, 3.58597)
21: (x, y) = (0.19805, 5.49858)
22: (x, y) = (0.19805, 7.49858)
23: (x, y) = (-1.62904, 8.31205)
24: (x, y) = (-0.598964, 6.59772)
25: (x, y) = (-2.50108, 7.21575)
26: (x, y) = (-2.11946, 5.2525)
27: (x, y) = (-4.0682, 4.80259)
28: (x, y) = (-4.65294, 6.7152)
29: (x, y) = (-5.77133, 5.05713)
30: (x, y) = (-4.05699, 6.0872)
31: (x, y) = (-2.1007, 6.50303)
32: (x, y) = (-4.01331, 7.08777)
33: (x, y) = (-2.45902, 8.34641)
34: (x, y) = (-4.19107, 9.34641)
35: (x, y) = (-2.53299, 8.22803)
36: (x, y) = (-0.705901, 7.41455)
37: (x, y) = (-2.64649, 7.8984)
38: (x, y) = (-1.70755, 9.66429)
39: (x, y) = (-1.9859, 11.6448)
40: (x, y) = (-3.92649, 12.1287)
41: (x, y) = (-2.51227, 13.5429)
42: (x, y) = (-1.14828, 12.0802)
43: (x, y) = (-1.11337, 14.0799)
44: (x, y) = (-2.3447, 15.6559)
45: (x, y) = (-0.68662, 14.5375)
46: (x, y) = (-2.51371, 13.724)
47: (x, y) = (-2.72277, 15.7131)
48: (x, y) = (-3.81205, 17.3904)
49: (x, y) = (-4.46318, 15.4994)
50: (x, y) = (-2.73113, 16.4994)
51: (x, y) = (-0.965236, 17.4383)
52: (x, y) = (-2.88776, 16.8871)
53: (x, y) = (-3.91784, 18.6014)
54: (x, y) = (-2.79945, 20.2595)
55: (x, y) = (-0.829835, 20.6068)
